participant_id,group,drill_type,attempts,solved,attempt_bin
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,4,True,4+ Versuche
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,2,True,2. Versuch
P001,B,MCQ,1,True,1. Versuch
P001,B,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,3,True,3. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,2,True,2. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,3,True,3. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,2,True,2. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,1,True,1. Versuch
P003,A,MCQ,1,True,1. Versuch
P003,A,Code,2,True,2. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,2,True,2. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,5,True,4+ Versuche
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,2,True,2. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,2,True,2. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,2,True,2. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,3,True,3. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,1,True,1. Versuch
P004,A,MCQ,1,True,1. Versuch
P004,A,Code,2,True,2. Versuch
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,1,True,1. Versuch
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,1,True,1. Versuch
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,1,True,1. Versuch
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,8,True,4+ Versuche
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,17,True,4+ Versuche
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,1,True,1. Versuch
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,2,True,2. Versuch
P007,B,MCQ,1,True,1. Versuch
P007,B,Code,4,True,4+ Versuche
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,2,True,2. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,2,True,2. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P008,A,MCQ,1,True,1. Versuch
P008,A,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,4,True,4+ Versuche
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,3,True,3. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,2,True,2. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,2,True,2. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,2,True,2. Versuch
P009,B,MCQ,1,True,1. Versuch
P009,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,2,True,2. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,2,True,2. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,3,True,3. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,1,True,1. Versuch
P010,B,MCQ,1,True,1. Versuch
P010,B,Code,4,True,4+ Versuche
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,2,True,2. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,9,True,4+ Versuche
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,2,True,2. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,5,True,4+ Versuche
P011,B,MCQ,1,True,1. Versuch
P011,B,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,2,True,2. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P012,A,MCQ,1,True,1. Versuch
P012,A,Code,1,True,1. Versuch
P014,A,MCQ,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,2,True,2. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,2,True,2. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,5,True,4+ Versuche
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,2,True,2. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,3,True,3. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,4,True,4+ Versuche
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,3,True,3. Versuch
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,6,True,4+ Versuche
P015,B,MCQ,1,True,1. Versuch
P015,B,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,2,True,2. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,2,True,2. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P017,A,MCQ,1,True,1. Versuch
P017,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,2,True,2. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,2,True,2. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,17,True,4+ Versuche
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,12,True,4+ Versuche
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,3,True,3. Versuch
P019,A,MCQ,1,True,1. Versuch
P019,A,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,2,True,2. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,2,True,2. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P020,B,MCQ,1,True,1. Versuch
P020,B,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,2,True,2. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,2,True,2. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,4,True,4+ Versuche
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,2,True,2. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P022,A,MCQ,1,True,1. Versuch
P022,A,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,9,True,4+ Versuche
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,2,True,2. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,5,True,4+ Versuche
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,1,True,1. Versuch
P023,B,MCQ,1,True,1. Versuch
P023,B,Code,3,True,3. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,1,True,1. Versuch
P024,B,MCQ,1,True,1. Versuch
P024,B,Code,2,True,2. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,2,True,2. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,2,True,2. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,4,True,4+ Versuche
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
P025,A,MCQ,1,True,1. Versuch
P025,A,Code,1,True,1. Versuch
